"Padang-Bung Hatta-November-2013","GZHAOD","140604003427209076760755","1995","Sumatera Barat - Kabupaten Pesisir Selatan","Perempuan","Orang tua"
"Padang-Bung Hatta-November-2013","VFERUG","140604005614384757800493","1995","Riau","Perempuan","orang tua"
"Padang-Bung Hatta-November-2013","SHFBVK","140604131916268816017126","1994","Sumatera Barat - Kabupaten Solok Selatan","Laki","Kedua Orang Tua"
"Padang-Bung Hatta-November-2013","LITLMQ","140604133243197073850687","1993","Sumatera Barat - Kota Padang","Perempuan","Orang Tua"
"Padang-Bung Hatta-November-2013","NAQDUW","140604234924123151777544","1995","Sumatera Barat - Kabupaten Solok Selatan","Perempuan","Ayah dan ibu"
"Padang-Bung Hatta-November-2013","KODTBY","140605001116124972202442","1994","Sumatera Barat - Kabupaten Solok Selatan","Perempuan","ORANG TUA"
"Padang-Bung Hatta-November-2013","GBWUZM","140605002909138236489612","1994","Sumatera Barat - Kabupaten Pasaman Barat","Perempuan","orang tua"
"Padang-Bung Hatta-November-2013","QTXERB","140605125715826931168231","1995","Jambi - Kabupaten Tebo","Perempuan","Orang Tua dan adik (keluarga)"
"Padang-Bung Hatta-November-2013","TKQOHS","140605132508292183357104","1995","Sumatera Barat - Kota Padang","Laki","Orang Tua Kandung"
"Padang-Bung Hatta-November-2013","IVQOXZ","140605212145708995445351","1990","Sumatera Barat - Kota Pariaman","Perempuan","Nenek (Almh), Kakak laki-laki"
"Padang-Bung Hatta-November-2013","CHTHDH","140605225053566996077680","1995","Sumatera Barat - Kabupaten Pesisir Selatan","Perempuan","Orang Tua"
"Padang-Bung Hatta-November-2013","SYTEIT","140605233030549778954125","1994","Sumatera Selatan - Kabupaten Empat Lawang","Perempuan","ORANG TUA"
"Padang-Bung Hatta-November-2013","WELVSB","140606211958542035957332","1992","Sumatera Barat - Kabupaten Dharmasraya","Perempuan","Orang Tua"
"Padang-Bung Hatta-November-2013","YVQCDB","140606231525923551436419","1992","- PAINAN, PASSEL","Perempuan","Orang tua"
"Padang-Bung Hatta-November-2013","UUHOYH","140606232916161041813343","1992","Sumatera Barat - Kabupaten Padang Pariaman","Perempuan","ORANG TUA"
"Padang-Bung Hatta-November-2013","XFFCXC","140606235538463884117267","1994","Jambi - Kabupaten Sarolangun","Perempuan","ORANG TUA"
"Padang-Bung Hatta-November-2013","XQZVOH","140607001940833940900209","1995","Sumatera Barat - Kota Padang","Perempuan","ORANG TUA"
